    t;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;
    1;        [1];        [2];        [3];        [4];        [5];        [6];
    2;        [1];        [2];        [3];        [4];        [5];        [6];
    3;        [1];        [2];        [3];        [4];        [5];        [6];
    4;        [1];        [2];        [3];        [4];        [5];        [6];
    5;        [1];        [2];        [3];        [4];        [5];        [6];
    6;        [1];        [2];        [3];        [4];        [5];        [6];
    7;        [1];        [2];        [3];        [4];        [5];        [6];
    8;        [1];        [2];        [3];        [4];        [5];        [6];
    9;        [1];        [2];        [3];        [4];        [5];        [6];
   10;        [1];        [2];        [3];        [4];        [5];        [6];
   11;        [1];        [2];        [3];        [4];        [5];        [6];
   12;        [1];        [2];        [3];        [4];        [5];        [6];
   13;        [1];        [2];        [3];        [4];        [5];        [6];
   14;        [1];        [2];        [3];        [4];        [5];        [6];
   15;        [1];        [2];        [3];        [4];        [5];        [6];
   16;        [1];        [2];        [3];        [4];        [5];        [6];
   17;        [1];        [2];        [3];        [4];        [5];        [6];
   18;        [1];        [2];        [3];        [4];        [5];        [6];
   19;        [1];        [2];        [3];        [4];        [5];        [6];
   20;        [1];        [2];        [3];        [4];        [5];        [6];
   21;        [1];        [2];        [3];        [4];        [5];        [6];
   22;        [1];        [2];        [3];        [4];        [5];        [6];
   23;        [1];        [2];        [3];        [4];        [5];        [6];
   24;        [1];        [2];        [3];        [4];        [5];        [6];
   25;        [1];        [2];        [3];        [4];        [5];        [6];
   26;        [1];        [2];        [3];        [4];        [5];        [6];
   27;        [1];        [2];        [3];        [4];        [5];        [6];
   28;        [1];        [2];        [3];        [4];        [5];        [6];
   29;        [1];        [2];        [3];        [4];        [5];        [6];
   30;        [1];        [2];        [3];        [4];        [5];        [6];
   31;        [1];        [2];        [3];        [4];        [5];        [6];
   32;        [1];        [2];        [3];        [4];        [5];        [6];
   33;        [1];        [2];        [3];        [4];        [5];        [6];
   34;        [1];        [2];        [3];        [4];        [5];        [6];
   35;        [1];        [2];        [3];        [4];        [5];        [6];
   36;        [1];        [2];        [3];        [4];        [5];        [6];
   37;        [1];        [2];        [3];        [4];        [5];        [6];
   38;        [1];        [2];        [3];        [4];        [5];        [6];
   39;        [1];        [2];        [3];        [4];        [5];        [6];
   40;        [1];        [2];        [3];        [4];        [5];        [6];
   41;        [1];        [2];        [3];        [4];        [5];        [6];
   42;        [7];        [8];        [9];       [10];       [11];       [12];
   43;        [7];        [8];        [9];       [10];       [11];       [12];
   44;        [7];        [8];        [9];       [10];       [11];       [12];
   45;        [7];        [8];        [9];       [10];       [11];       [12];
   46;        [7];        [8];        [9];       [10];       [11];       [12];
   47;        [7];        [8];        [9];       [10];       [11];       [12];
   48;        [7];        [8];        [9];       [10];       [11];       [12];
   49;        [7];        [8];        [9];       [10];       [11];       [12];
   50;        [7];        [8];        [9];       [10];       [11];       [12];
   51;        [7];        [8];        [9];       [10];       [11];       [12];
   52;        [7];        [8];        [9];       [10];       [11];       [12];
   53;        [7];        [8];        [9];       [10];       [11];       [12];
   54;        [7];        [8];        [9];       [10];       [11];       [12];
   55;        [7];        [8];        [9];       [10];       [11];       [12];
   56;        [7];        [8];        [9];       [10];       [11];       [12];
   57;        [7];        [8];        [9];       [10];       [11];       [12];
   58;        [7];        [8];        [9];       [10];       [11];       [12];
   59;        [7];        [8];        [9];       [10];       [11];       [12];
   60;        [7];        [8];        [9];       [10];       [11];       [12];
   61;        [7];        [8];        [9];       [10];       [11];       [12];
   62;        [7];        [8];        [9];       [10];       [11];       [12];
   63;        [7];        [8];        [9];       [10];       [11];       [12];
   64;        [7];        [8];        [9];       [10];       [11];       [12];
   65;        [7];        [8];        [9];       [10];       [11];       [12];
   66;        [7];        [8];        [9];       [10];       [11];       [12];
   67;        [7];        [8];        [9];       [10];       [11];       [12];
   68;        [7];        [8];        [9];       [10];       [11];       [12];
   69;        [7];        [8];        [9];       [10];       [11];       [12];
   70;        [7];        [8];        [9];       [10];       [11];       [12];
   71;        [7];        [8];        [9];       [10];       [11];       [12];
   72;        [7];        [8];        [9];       [10];       [11];       [12];
   73;        [7];        [8];        [9];       [10];       [11];       [12];
   74;        [7];        [8];        [9];       [10];       [11];       [12];
   75;        [7];        [8];        [9];       [10];       [11];       [12];
   76;        [7];        [8];        [9];       [10];       [11];       [12];
   77;        [7];        [8];        [9];       [10];       [11];       [12];
   78;        [7];        [8];        [9];       [10];       [11];       [12];
   79;        [7];        [8];        [9];       [10];       [11];       [12];
   80;        [7];        [8];        [9];       [10];       [11];       [12];
   81;        [7];        [8];        [9];       [10];       [11];       [12];
   82;        [7];        [8];        [9];       [10];       [11];       [12];
   83;       [13];       [14];       [15];       [16];           ;           ;
   84;       [13];       [14];       [15];       [16];           ;           ;
   85;       [13];       [14];       [15];       [16];           ;           ;
   86;       [13];       [14];       [15];       [16];           ;           ;
   87;       [13];       [14];       [15];       [16];           ;           ;
   88;       [13];       [14];       [15];       [16];           ;           ;
   89;       [13];       [14];       [15];       [16];           ;           ;
   90;       [13];       [14];       [15];       [16];           ;           ;
   91;       [13];       [14];       [15];       [16];           ;           ;
   92;       [13];       [14];       [15];       [16];           ;           ;
   93;       [13];       [14];       [15];       [16];           ;           ;
   94;       [13];       [14];       [15];       [16];           ;           ;
   95;       [13];       [14];       [15];       [16];           ;           ;
   96;       [13];       [14];       [15];       [16];           ;           ;
   97;       [13];       [14];       [15];       [16];           ;           ;
   98;       [13];       [14];       [15];       [16];           ;           ;
   99;       [13];       [14];       [15];       [16];           ;           ;
  100;       [13];       [14];       [15];       [16];           ;           ;
  101;       [13];       [14];       [15];       [16];           ;           ;
  102;       [13];       [14];       [15];       [16];           ;           ;
  103;       [13];       [14];       [15];       [16];           ;           ;
  104;       [13];       [14];       [15];       [16];           ;           ;
  105;       [13];       [14];       [15];       [16];           ;           ;
  106;       [13];       [14];       [15];       [16];           ;           ;
  107;       [13];       [14];       [15];       [16];           ;           ;
  108;       [13];       [14];       [15];       [16];           ;           ;
  109;       [13];       [14];       [15];       [16];           ;           ;
  110;       [13];       [14];       [15];       [16];           ;           ;
  111;       [13];       [14];       [15];       [16];           ;           ;
  112;       [13];       [14];       [15];       [16];           ;           ;
  113;       [13];       [14];       [15];       [16];           ;           ;
  114;       [13];       [14];       [15];       [16];           ;           ;
  115;       [13];       [14];       [15];       [16];           ;           ;
  116;       [13];       [14];       [15];       [16];           ;           ;
  117;       [13];       [14];       [15];       [16];           ;           ;
  118;       [13];       [14];       [15];       [16];           ;           ;
  119;       [13];       [14];       [15];       [16];           ;           ;
  120;       [13];       [14];       [15];       [16];           ;           ;
  121;       [13];       [14];       [15];       [16];           ;           ;
  122;  [13]/R[5];  [14]/R[6];       [15];       [16];      /S[5];      /S[6];
  123;  [13]/R[5];  [14]/R[6];       [15];       [16];      /S[5];      /S[6];
  124;      /S[7];      /S[8];      /R[7];      /R[8];           ;           ;
  125;      /S[7];      /S[8];      /R[7];      /R[8];           ;           ;
  126;       [17];       [18];     /R[11];     /R[12];     /S[11];     /S[12];
  127;       [17];       [18];     /R[11];     /R[12];     /S[11];     /S[12];
  128;       [17];       [18];  [19]/S[9]; [20]/S[10];           ;           ;
  129;       [17];       [18];  [19]/S[9]; [20]/S[10];           ;           ;
  130;       [17];       [18];       [19];       [20];           ;           ;
  131; [17]/S[13];       [18];       [19];       [20];     /R[13];           ;
  132; [17]/S[13];       [18];       [19];       [20];     /R[13];           ;
  133;       [17]; [18]/S[14];       [19];       [20];     /R[14];           ;
  134;       [17]; [18]/S[14];       [19];       [20];     /R[14];           ;
  135;       [17];       [18]; [19]/S[15];       [20];     /R[15];           ;
  136;       [17];       [18]; [19]/S[15];       [20];     /R[15];           ;
  137;       [17];       [18];       [19]; [20]/S[16];     /R[16];           ;
  138;       [17];       [18];       [19];       [20];       [21];           ;
  139;       [17];       [18];       [19];       [20];       [21];           ;
  140;       [17];       [18];       [19];       [20];       [21];           ;
  141;           ;           ;       [19];       [20];       [21];           ;
  142;           ;           ;       [19];       [20];       [21];           ;
  143;           ;           ;           ;           ;       [21];           ;
  144;           ;           ;           ;           ;       [21];           ;
  145;           ;           ;           ;           ;       [21];           ;
  146;           ;           ;           ;           ;       [21];           ;
  147;           ;           ;           ;           ;       [21];           ;
  148;           ;           ;           ;           ;       [21];           ;
  149;           ;           ;           ;           ;       [21];           ;
  150;           ;           ;           ;           ;       [21];           ;
  151;     /S[17];           ;     /S[19];           ; [21]/R[17];     /R[19];
  152;     /S[17];     /S[18];     /S[19];     /R[18]; [21]/R[17];     /R[19];
  153;           ;     /S[18];     /S[19];     /R[18];       [22];     /R[19];
  154;     /R[20];           ;           ;     /S[20]; [22]/S[21];     /R[21];
  155;     /R[20];           ;           ; [23]/S[20];       [22];       [24];
  156;     /R[20];           ;           ; [23]/S[20];       [22];       [24];
  157;     /R[21];           ;           ;       [23];     /S[21];       [24];
  158;     /R[21];           ;           ;       [23];     /S[21];       [24];
  159;       [25];           ;           ;           ;           ;           ;
  160;       [25];           ;           ;           ;           ;           ;
  161;       [25];           ;           ;           ;           ;           ;
  162;       [25];           ;           ;           ;           ;           ;
  163;           ;           ;           ;           ;           ;           ;
  164;           ;           ;           ;           ;           ;           ;
  165;           ;           ;           ;           ;           ;           ;
  166;           ;           ;           ;           ;           ;           ;
  167;           ;           ;           ;           ;           ;           ;
  168;           ;           ;           ;           ;           ;           ;
  169;           ;           ;           ;           ;           ;           ;
  170;           ;           ;           ;           ;           ;           ;
  171;           ;           ;           ;           ;           ;           ;
  172;           ;           ;           ;           ;           ;           ;
  173;           ;           ;           ;           ;           ;           ;
  174;           ;           ;           ;           ;           ;           ;
  175;           ;           ;           ;           ;           ;           ;
  176;           ;           ;           ;           ;           ;           ;
  177;           ;           ;           ;           ;           ;           ;
  178;           ;           ;           ;           ;           ;           ;
  179;           ;           ;           ;           ;           ;           ;
  180;           ;           ;           ;           ;           ;           ;
  181;           ;           ;           ;           ;           ;           ;
  182;           ;           ;           ;           ;           ;           ;
  183;           ;           ;           ;           ;           ;           ;
  184;           ;           ;           ;           ;           ;           ;
  185;           ;           ;           ;           ;           ;           ;
  186;           ;           ;           ;           ;           ;           ;
  187;           ;           ;           ;           ;           ;           ;
  188;           ;           ;           ;           ;           ;           ;
  189;           ;           ;           ;           ;           ;           ;
  190;           ;           ;           ;           ;           ;           ;
  191;           ;           ;           ;           ;           ;           ;
  192;           ;           ;           ;           ;           ;           ;
  193;           ;           ;           ;           ;           ;           ;
  194;           ;           ;           ;           ;           ;           ;
  195;           ;           ;           ;           ;           ;           ;
  196;           ;           ;           ;           ;           ;           ;
  197;           ;           ;           ;           ;           ;           ;
  198;           ;           ;           ;           ;           ;           ;
  199;           ;           ;           ;           ;           ;           ;
  200;           ;           ;           ;           ;           ;           ;
  201;           ;           ;           ;           ;           ;           ;
  202;           ;           ;           ;           ;           ;           ;
  203;           ;           ;           ;           ;           ;           ;
  204;           ;           ;           ;           ;           ;           ;
  205;           ;           ;           ;           ;           ;           ;
  206;           ;           ;           ;           ;           ;           ;
  207;           ;           ;           ;           ;           ;           ;
  208;           ;           ;           ;           ;           ;           ;
  209;           ;           ;           ;           ;           ;           ;
  210;           ;           ;           ;           ;           ;           ;
  211;           ;           ;           ;           ;           ;           ;
  212;           ;           ;           ;           ;           ;           ;
  213;           ;           ;           ;           ;           ;           ;
  214;           ;           ;           ;           ;           ;           ;
  215;           ;           ;           ;           ;           ;           ;
  216;           ;           ;           ;           ;           ;           ;
  217;           ;           ;           ;           ;           ;           ;
  218;           ;           ;           ;           ;           ;           ;
  219;           ;           ;           ;           ;           ;           ;
  220;           ;           ;           ;           ;           ;           ;
  221;           ;           ;           ;           ;           ;           ;
  222;           ;           ;           ;           ;           ;           ;
  223;           ;           ;           ;           ;           ;           ;
  224;           ;           ;           ;           ;           ;           ;
  225;           ;           ;           ;           ;           ;           ;
  226;           ;           ;           ;           ;           ;           ;
  227;           ;           ;           ;           ;           ;           ;
  228;           ;           ;           ;           ;           ;           ;
  229;           ;           ;           ;           ;           ;           ;
  230;           ;           ;           ;           ;           ;           ;
  231;           ;           ;           ;           ;           ;           ;
  232;           ;           ;           ;           ;           ;           ;
  233;           ;           ;           ;           ;           ;           ;
  234;           ;           ;           ;           ;           ;           ;
  235;           ;           ;           ;           ;           ;           ;
  236;           ;           ;           ;           ;           ;           ;
  237;           ;           ;           ;           ;           ;           ;
  238;           ;           ;           ;           ;           ;           ;
  239;           ;           ;           ;           ;           ;           ;
  240;           ;           ;           ;           ;           ;           ;
  241;           ;           ;           ;           ;           ;           ;
  242;           ;           ;           ;           ;           ;           ;
  243;           ;           ;           ;           ;           ;           ;
  244;           ;           ;           ;           ;           ;           ;
  245;           ;           ;           ;           ;           ;           ;
  246;           ;           ;           ;           ;           ;           ;
  247;           ;           ;           ;           ;           ;           ;
  248;           ;           ;           ;           ;           ;           ;
  249;           ;           ;           ;           ;           ;           ;
  250;           ;           ;           ;           ;           ;           ;
  251;           ;           ;           ;           ;           ;           ;
  252;           ;           ;           ;           ;           ;           ;
  253;           ;           ;           ;           ;           ;           ;
  254;           ;           ;           ;           ;           ;           ;
  255;           ;           ;           ;           ;           ;           ;
  256;           ;           ;           ;           ;           ;           ;
  257;           ;           ;           ;           ;           ;           ;
  258;           ;           ;           ;           ;           ;           ;
  259;           ;           ;           ;           ;           ;           ;
  260;           ;           ;           ;           ;           ;           ;
  261;           ;           ;           ;           ;           ;           ;
  262;           ;           ;           ;           ;           ;           ;
  263;           ;           ;           ;           ;           ;           ;
  264;           ;           ;           ;           ;           ;           ;
  265;           ;           ;           ;           ;           ;           ;
