    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    3;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    4;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    5;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    6;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    7;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    8;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
    9;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
   10;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   11;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   12;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   13;     /R[10];           ;           ;           ;           ;           ;           ;           ;           ;     /S[10];           ;           ;           ;           ;           ;           ;
   14;     /R[10];           ;           ;           ;           ;           ;           ;           ;           ;     /S[10];           ;           ;           ;           ;           ;           ;
   15;     /R[11];           ;           ;           ;           ;           ;           ;           ;           ;           ;     /S[11];           ;           ;           ;           ;           ;
   16;     /R[11];           ;           ;           ;      /S[5];           ;           ;           ;           ;           ;     /S[11];           ;           ;      /R[5];           ;           ;
   17;     /R[12];           ;           ;           ;      /S[5];           ;           ;           ;           ;           ;           ;     /S[12];           ;      /R[5];           ;           ;
   18;     /R[12];      /S[2];           ;           ;      /S[5];           ;      /S[7];           ;           ;      /R[2];           ;     /S[12];      /R[5];      /R[7];           ;           ;
   19;     /R[12];      /S[2];           ;           ;      /S[5];           ;      /S[7];           ;           ;      /R[2];           ;     /S[12];      /R[5];      /R[7];           ;           ;
   20;     /R[13];      /S[2];      /S[3];           ;      /S[5];           ;           ;      /S[8];           ;      /R[3];           ;      /R[2];      /R[5];      /R[8];           ;           ;
   21;     /R[13];      /S[2];      /S[3];      /S[4];      /S[5];      /S[6];      /R[3];      /S[8];           ;      /R[4];           ;      /R[2];      /R[6];      /R[8];      /R[5];           ;
   22;     /R[15];      /S[2];      /S[3];           ;      /S[5];      /S[6];      /R[3];           ;      /S[9];     /R[11];     /S[11];      /R[2];      /R[6];      /R[9];      /R[5];           ;
   23;     /R[15];           ;      /S[3];           ;      /S[5];      /S[6];      /R[3];           ;      /S[9];     /R[11];     /S[11];      /R[3];      /R[6];      /R[9];      /R[5];           ;
   24;     /R[15];           ;      /S[3];      /S[4];           ;      /S[6];      /R[4];      /S[8];      /S[9];     /R[11];     /S[11];      /R[3];      /R[8];      /R[9];      /R[6];           ;
   25;     /R[16];           ;      /S[3];           ;      /S[5];      /S[6];      /R[5];      /S[8];           ;     /R[12];     /S[11];      /R[3];      /R[8];     /R[11];      /R[6];     /S[16];
   26;     /R[16];           ;      /S[3];           ;      /S[5];      /S[6];      /R[5];      /S[8];           ;     /R[12];           ;      /R[3];      /R[8];     /R[12];      /R[6];     /S[16];
   27;     /R[16];           ;           ;      /S[4];      /S[5];           ;      /R[5];           ;      /S[9];     /R[12];           ;      /R[4];      /R[9];     /R[15];      /R[7];     /S[16];
   28;     /R[16];           ;           ;      /S[4];           ;      /S[6];      /R[6];           ;           ;     /R[13];           ;      /R[4];     /S[13];     /R[16];      /R[7];     /S[16];
   29;       [17];           ;           ;           ;           ;      /S[6];      /R[6];           ;           ;     /R[14];           ;      /R[6];     /R[12];     /S[14];      /R[7];     /S[16];
   30;       [17];           ;           ;           ;           ;      /S[6];      /R[8];      /S[8];      /S[9];     /R[14];           ;      /R[6];     /R[12]; [18]/S[14];      /R[9];           ;
   31;       [17];           ;           ;           ;           ;      /S[6];     /R[13];           ;      /S[9];     /R[14];           ;      /R[6];     /S[13]; [18]/S[14];      /R[9];           ;
   32;       [17];           ;           ;           ;           ;           ;     /R[15];           ;           ;     /R[15];           ;      /R[7];     /R[14]; [18]/S[14];     /S[15];           ;
   33;       [17];           ;           ;           ;           ;           ;     /R[15];      /S[8];           ;     /R[15];           ;      /R[8];     /R[14]; [18]/S[14];     /S[15];           ;
   34;       [17];           ;           ;           ;           ;           ;     /R[16];           ;           ;       [21];     /S[11];     /R[14];     /R[16]; [18]/S[14];     /R[11];     /S[16];
   35;       [17];           ;           ;           ;           ;           ;     /R[16];           ;           ;       [21];     /S[11];     /R[15];     /R[16];       [18];     /S[15];     /S[16];
   36;       [17];           ;           ;           ;           ;           ;       [26];           ;           ;       [21];           ;     /R[15]; [19]/S[13]; [18]/S[14];     /S[15];           ;
   37;       [17];           ;           ;           ;           ;           ;       [26];           ;           ;       [21];           ;     /R[16]; [19]/S[13];       [18];     /R[16];     /S[16];
   38;       [17];           ;           ;           ;           ;           ;       [26];           ;           ;       [21];           ;     /R[16];       [19];       [18];       [20];     /S[16];
   39;       [17];           ;           ;           ;           ;           ;       [26];           ;           ;       [21];           ;       [25];       [19];       [18]; [20]/S[15];           ;
   40;       [17];           ;           ;           ;           ;           ;       [26];           ;           ;       [21];           ;       [25];       [19];       [18]; [20]/S[15];           ;
   41;  [17]/S[1];           ;           ;           ;           ;           ;  [26]/S[7];      /R[1];           ;       [21];           ;       [25];       [19];       [18]; [20]/S[15];           ;
