    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    3;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    4;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    5;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    6;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    7;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    8;   [9]/R[6];       [10];       [11];       [12];       [13];  [14]/S[6];       [15];       [16];
    9;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
   10;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
   11;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
   12;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
   13;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   14;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   15;      /R[8];      /S[2];      /R[2];           ;           ;           ;           ;      /S[8];
   16;     /R[10];     /S[10];      /R[4];      /S[4];           ;           ;           ;           ;
   17;     /R[11];           ;      /R[4];      /S[4];           ;           ;           ;           ;
   18;     /R[11];     /S[10];     /R[10];           ;           ;           ;           ;           ;
   19;     /R[12];           ;     /R[12];     /S[12];           ;           ;           ;           ;
   20;     /R[12];           ;     /R[12];     /S[12];           ;           ;           ;           ;
   21;     /R[13];           ;     /R[13];           ;     /S[13];           ;           ;           ;
   22;     /R[15];           ;     /R[14];           ;           ;     /S[14];     /S[15];           ;
   23;     /R[15];           ;     /R[15];           ;           ;           ;     /S[15];           ;
   24;     /R[16];           ;     /R[15];           ;           ;           ;     /S[15];     /S[16];
   25;     /R[16];           ;       [21];           ;           ;           ;           ;     /S[16];
   26;     /R[16];           ; [21]/S[11];           ;           ;           ;           ;     /S[16];
   27;       [17];           ; [21]/S[11];           ;           ;           ;           ;           ;
   28;       [17];           ;       [21];           ;           ;           ;           ;           ;
   29;       [17];           ;       [21];           ;           ;           ;           ;           ;
   30;       [17];           ;       [21];           ;           ;           ;           ;           ;
   31;       [17];           ;       [21];           ;           ;           ;           ;           ;
   32;  [17]/S[1];           ;       [21];      /R[5];      /S[5];           ;      /R[1];           ;
   33;  [17]/S[1];           ;       [21];      /R[5];      /S[5];           ;      /R[1];           ;
   34;       [17];      /R[5];  [21]/S[3];      /R[7];      /S[5];           ;      /R[3];           ;
   35;       [17];      /R[6];  [21]/S[3];      /R[8];      /R[6];      /S[6];      /R[3];      /S[8];
   36;  [17]/S[9];      /R[6];       [21];      /S[4];      /R[6];      /S[6];      /R[4];           ;
   37;  [17]/S[1];      /R[8];       [21];      /R[9];      /R[7];      /R[1];      /R[9];      /S[8];
   38;  [17]/S[1];      /R[8];       [21];     /R[11];      /R[9];      /R[1];      /R[9];      /S[8];
   39;  [17]/S[1];     /S[10]; [21]/S[11];     /R[11];     /R[10];      /R[1];     /R[11];           ;
   40;  [17]/S[1];      /S[2]; [21]/S[11];     /S[12];     /R[11];      /R[2];     /R[11];      /R[1];
   41;  [17]/S[1];      /S[2];       [21];     /S[12];     /R[14];      /R[2];     /R[12];      /R[1];
   42;  [17]/S[1];     /R[14];       [21];      /S[4];     /S[13];      /R[4];     /R[13];      /R[1];
   43;  [17]/S[9];      /S[2];       [21];       [18];     /R[15];      /R[9];     /R[16];      /R[2];
   44;  [17]/S[9];      /S[2];       [21];       [18];     /R[16];      /R[9];  [22]/S[7];      /R[2];
   45;  [17]/S[9];     /R[16];  [21]/S[3];       [18];     /R[16];      /R[9];       [22];      /R[3];
