    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    3;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    4;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    5;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    6;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    7;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
    8;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
    9;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   10;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   11;     /R[10];           ;           ;           ;           ;           ;           ;           ;           ;     /S[10];           ;           ;           ;           ;           ;           ;
   12;     /R[10];           ;           ;           ;           ;           ;           ;           ;           ;     /S[10];           ;           ;           ;           ;           ;           ;
   13;     /R[11];      /R[3];      /S[3];           ;           ;           ;           ;           ;           ;           ;     /S[11];           ;           ;           ;           ;           ;
   14;     /R[11];      /R[4];           ;      /S[4];           ;           ;           ;           ;           ;           ;     /S[11];           ;           ;           ;           ;           ;
   15;     /R[12];     /R[10];           ;           ;      /S[5];           ;           ;           ;      /R[5];     /S[10];           ;     /S[12];           ;           ;           ;           ;
   16;     /R[13];      /S[2];      /S[3];      /R[2];      /S[5];      /R[3];      /S[7];           ;      /R[7];     /S[10];      /R[5];           ;     /S[13];           ;           ;           ;
   17;     /R[13];     /R[11];      /S[3];      /S[4];      /S[5];      /R[4];           ;      /S[8];      /R[8];      /R[5];     /S[11];           ;     /S[13];           ;           ;           ;
   18;     /R[15];     /R[12];           ;      /R[6];      /S[5];      /R[5];           ;           ;     /R[11];      /R[6];      /R[6];     /S[12];           ;           ;     /S[15];           ;
   19;     /R[15];     /R[13];           ;      /R[7];      /S[5];      /R[5];      /S[7];      /S[8];     /R[12];      /R[8];      /R[6];     /S[12];     /S[13];           ;     /S[15];           ;
   20;     /R[16];     /R[14];           ;      /R[8];           ;      /R[7];      /S[7];      /S[8];     /R[14];      /R[8];      /R[7];           ;           ;     /S[14];           ;     /S[16];
   21;     /R[16];     /R[15];           ;     /R[14];           ;      /R[8];      /S[7];      /S[8];      /S[9];      /R[9];      /R[7];           ;           ;     /S[14];     /S[15];     /S[16];
   22;     /R[16];       [21];           ;     /R[14];           ;     /R[13];           ;           ;      /S[9];     /R[12];      /R[9];     /S[12];     /S[13];     /S[14];     /S[15];     /S[16];
   23;       [17];       [21];           ;     /R[15];           ;     /R[13];           ;           ;     /R[15];     /S[10];     /R[10];           ;     /S[13];           ;     /S[15];           ;
   24;       [17];       [21];           ;     /R[15];           ;     /R[15];           ;           ;     /R[16];     /R[14];     /R[14];           ;           ;     /S[14];     /S[15];     /S[16];
   25;       [17];       [21];           ;     /R[16];           ;     /R[15];           ;           ;     /R[16];     /R[14];     /R[15];           ;           ;     /S[14];     /S[15];     /S[16];
   26;       [17];       [21];           ;     /R[16];           ;     /R[16];           ;           ;       [18];     /R[16];     /R[16];           ;           ;           ;           ;     /S[16];
   27;       [17];       [21];           ;       [25];           ;     /R[16];           ;           ;       [18];     /R[16];     /R[16];           ;           ;           ;           ;     /S[16];
   28;       [17];       [21];           ;       [25];           ;       [26];           ;           ;       [18];     /R[16];       [20];           ;           ;           ;           ;     /S[16];
   29;       [17];       [21];           ;       [25];           ;  [26]/S[6];           ;           ;       [18];       [19]; [20]/S[11];           ;           ;           ;           ;           ;
   30;       [17];       [21];           ;       [25];           ;  [26]/S[6];           ;           ;       [18];       [19];       [20];           ;           ;           ;           ;           ;
   31;       [17];       [21];           ;       [25];           ;       [26];           ;           ;       [18];       [19];       [20];           ;           ;           ;           ;           ;
   32;       [17];       [21];           ;       [25];           ;       [26];           ;           ;       [18];       [19];       [20];           ;           ;           ;           ;           ;
   33;  [17]/S[1];       [21];           ;       [25];           ;       [26];           ;           ;       [18];       [19];       [20];           ;      /R[1];           ;           ;           ;
   34;  [17]/S[1];       [21];           ;       [25];           ;       [26];           ;           ;       [18];       [19];       [20];           ;      /R[1];           ;           ;           ;
   35;  [17]/S[1];       [21];      /S[3];       [25];      /R[1];       [26];           ;           ;       [18];       [19];       [20];      /R[1];      /R[3];      /R[1];           ;           ;
   36;  [17]/S[1];  [21]/S[2];      /R[1];       [25];      /R[2];       [26];           ;           ;       [18];       [19];       [20];      /R[2];      /R[4];      /R[1];           ;           ;
   37;  [17]/S[1];  [21]/S[2];      /S[3];       [25];      /R[3];       [26];      /R[1];      /R[1];       [18];       [19];       [20];      /R[4];      /R[4];      /R[2];           ;           ;
   38;  [17]/S[1];       [21];      /R[4];  [25]/S[4];      /R[6];  [26]/S[6];      /R[1];      /R[1];  [18]/S[9];       [19];       [20];      /R[4];      /R[9];      /R[3];           ;           ;
   39;  [17]/S[1];  [21]/S[2];      /R[5];       [25];      /R[6];  [26]/S[6];      /R[2];      /R[2];  [18]/S[9];       [19]; [20]/S[11];      /R[9];     /R[11];      /R[3];      /R[1];           ;
   40;  [17]/S[1];  [21]/S[2];      /R[6];       [25];      /R[7];  [26]/S[6];      /R[2];      /R[2];  [18]/S[9]; [19]/S[10];       [20];     /R[10];     /R[12];      /R[9];      /R[1];           ;
