    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    3;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    4;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    5;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    6;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    7;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    8;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    9;           ;           ;           ;           ;           ;           ;           ;           ;
   10;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
   11;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
   12;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
   13;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   14;      /R[8];           ;           ;           ;      /R[6];      /S[6];           ;      /S[8];
   15;      /R[8];      /R[5];           ;           ;      /R[8];           ;           ;      /S[8];
   16;      /S[1];      /S[2];      /R[2];      /R[1];      /S[5];      /R[5];      /S[7];      /S[8];
   17;      /S[1];      /R[8];      /R[4];      /R[1];      /R[9];      /R[7];      /S[7];      /S[8];
   18;      /S[1];     /S[10];      /S[3];      /R[3];     /R[10];      /R[9];      /R[1];      /S[8];
   19;      /S[1];     /S[10];     /R[12];      /R[9];     /R[12];     /R[10];      /R[1];           ;
   20;      /S[9];      /S[2];     /R[13];      /R[9];     /S[13];     /R[11];      /R[2];           ;
   21;     /R[15];     /R[12];     /S[11];      /S[4];     /R[16];     /S[14];      /R[4];     /S[16];
   22;     /R[15];     /R[14];     /R[14];      /S[4];     /S[13];     /S[14];      /R[4];     /S[16];
   23;      /S[9];     /R[15];     /R[15];     /R[15];  [19]/S[5];     /R[16];      /R[9];     /S[16];
   24;      /S[1];     /R[16];     /R[15];     /R[15];       [19];     /R[16];      /R[9];      /R[1];
   25;      /S[1];     /S[10];       [21];     /R[16];       [19];       [20];     /R[10];      /R[1];
   26;  [17]/S[1]; [18]/S[10]; [21]/S[11]; [22]/S[12];       [19];       [20];     /R[12];      /R[1];
   27;       [17];  [18]/S[2];       [21]; [22]/S[12];       [19];       [20];     /R[12];      /R[2];
   28;       [17];  [18]/S[2];       [21]; [22]/S[12]; [19]/S[13];       [20];     /R[13];      /R[2];
   29;       [17];       [18];  [21]/S[3]; [22]/S[12];       [19]; [20]/S[14];     /R[14];      /R[3];
   30;       [17];       [18];  [21]/S[3];       [22];       [19];       [20];     /R[16];      /R[3];
   31;  [17]/S[9];       [18];       [21]; [22]/S[12];       [19]; [20]/S[14];       [23];      /R[9];
   32;  [17]/S[9];       [18];       [21];       [22];       [19];       [20];       [23];      /R[9];
   33;  [17]/S[9];       [18];       [21];       [22];       [19];       [20];       [23];      /R[9];
   34;       [17]; [18]/S[10];       [21];       [22];       [19];       [20]; [23]/S[15];     /R[10];
   35;       [17]; [18]/S[10];       [21];       [22];       [19];       [20]; [23]/S[15];     /R[10];
   36;       [17];       [18]; [21]/S[11];       [22];       [19];       [20]; [23]/S[15];     /R[11];
   37;       [17];       [18]; [21]/S[11];       [22];       [19];       [20]; [23]/S[15];     /R[11];
   38;       [17];       [18];       [21];       [22]; [19]/S[13];       [20];       [23];     /R[13];
   39;       [17];       [18];       [21];       [22]; [19]/S[13];       [20];       [23];     /R[13];
   40;       [17];       [18];       [21];       [22];       [19]; [20]/S[14];       [23];     /R[14];
   41;       [17];       [18];       [21];       [22];       [19]; [20]/S[14];       [23];     /R[14];
   42;       [17];       [18];       [21];       [22];       [19];       [20]; [23]/S[15];     /R[15];
