    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    3;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    4;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    5;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    6;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    7;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    8;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    9;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
   10;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
   11;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
   12;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
   13;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   14;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   15;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   16;      /R[8];           ;           ;           ;      /S[5];           ;           ;      /S[8];           ;           ;      /R[5];           ;           ;           ;           ;           ;
   17;     /R[10];           ;           ;           ;      /S[5];           ;           ;           ;           ;     /S[10];      /R[5];           ;           ;           ;           ;           ;
   18;     /R[10];           ;           ;           ;      /S[5];           ;           ;           ;           ;     /S[10];      /R[5];           ;           ;           ;           ;           ;
   19;     /R[10];           ;           ;           ;           ;           ;      /S[7];           ;           ;     /S[10];      /R[7];           ;           ;           ;           ;           ;
   20;     /R[11];           ;           ;           ;      /S[5];           ;           ;      /S[8];           ;      /R[5];      /R[8];           ;           ;           ;           ;           ;
   21;     /R[11];           ;           ;           ;      /S[5];      /R[5];           ;      /S[8];           ;      /R[5];      /R[8];           ;           ;           ;           ;           ;
   22;     /R[11];      /S[2];      /R[2];           ;           ;      /R[7];      /S[7];           ;      /S[9];      /R[6];      /R[9];           ;           ;           ;           ;           ;
   23;      /S[1];      /S[2];      /R[4];      /S[4];      /R[1];      /R[9];      /R[2];      /S[8];      /S[9];      /R[8];      /R[9];           ;           ;      /R[1];           ;           ;
   24;      /S[1];      /S[2];      /S[3];           ;      /R[2];      /S[6];      /R[2];      /R[3];      /S[9];      /R[8];     /R[12];     /S[12];           ;      /R[1];           ;           ;
   25;      /S[1];      /S[2];      /S[3];           ;      /R[2];      /S[6];      /R[3];      /R[3];           ;     /S[10];     /R[14];     /S[12];           ;      /R[1];           ;           ;
   26;      /S[1];           ;      /S[3];      /S[4];      /R[3];     /R[11];      /S[7];      /R[4];      /R[1];      /R[9];     /S[11];      /R[1];           ;      /R[1];           ;           ;
   27;      /S[1];      /R[1];      /S[3];      /R[1];      /R[3];     /R[11];      /R[4];      /R[5];      /R[1];     /R[12];     /S[11];      /R[1];           ;      /R[2];     /S[15];           ;
   28;      /S[1];      /R[3];      /S[3];      /R[1];      /R[3];     /R[14];     /R[10];      /R[5];      /R[2];     /S[10];     /R[16];      /R[1];           ;      /R[2];           ;     /S[16];
   29;      /S[1];      /R[4];     /R[14];      /R[1];      /R[6];      /S[6];     /R[10];      /R[5];      /R[2];     /S[10];     /R[16];      /R[1];     /S[13];     /S[14];           ;     /S[16];
   30;      /S[1];      /S[2];     /R[14];      /R[2];      /R[7];      /S[6];      /S[7];      /R[6];      /R[2];     /R[13]; [18]/S[11];      /R[1];     /S[13];     /S[14];     /S[15];           ;
   31;     /R[13];      /S[2];     /R[14];      /R[2];      /R[7];      /S[6];      /S[7];      /R[6];      /R[4];     /R[14]; [18]/S[11];      /R[3];     /S[13];     /S[14];     /S[15];           ;
   32;     /R[15];      /R[5];      /S[3];      /R[3];     /R[13];     /R[15];      /S[7];      /R[7];      /R[4];     /R[16]; [18]/S[11];      /R[3];     /S[13];     /S[14];     /S[15];     /S[16];
   33;      /S[1];      /R[6];     /R[15];      /R[5];      /S[5];      /S[6];     /R[13];     /R[13];      /R[4];     /R[16]; [18]/S[11];      /R[3];      /R[1];      /R[3];     /S[15];     /S[16];
   34;      /S[1];      /R[8];     /R[15];      /R[5];      /S[5];     /R[16];     /R[13];      /S[8];      /S[9];     /R[16]; [18]/S[11];      /R[4];      /R[1];     /S[14];      /R[1];     /S[16];
   35;      /S[1];      /R[8];     /R[15];      /R[5];      /S[5];     /R[16];     /R[13];      /S[8];      /S[9];       [19];       [18];      /R[4];      /R[1];     /S[14];      /R[1];     /S[16];
   36;      /S[1];      /S[2];     /R[16];      /R[5];      /S[5];     /R[16];     /R[13];      /S[8];     /R[10]; [19]/S[10];       [18];      /R[9];      /R[2];     /S[14];      /R[1];      /R[1];
   37;      /S[1];      /S[2];     /R[16];      /R[7];     /R[15];       [20];      /S[7];     /R[13];     /R[12];       [19]; [18]/S[11];     /S[12];      /R[2];     /R[11];      /R[1];      /R[1];
   38;      /S[1];      /S[2];     /R[16];      /R[7];     /R[15];  [20]/S[6];      /S[7];     /R[15];     /R[12];       [19]; [18]/S[11];     /S[12];      /R[2];     /R[11];      /R[1];      /R[1];
