    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    3;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    4;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    5;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    6;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    7;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    8;   [9]/R[6];       [10];       [11];       [12];       [13];  [14]/S[6];       [15];       [16];
    9;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
   10;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
   11;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
   12;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
   13;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   14;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   15;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   16;     /R[10];     /S[10];           ;           ;           ;           ;           ;           ;
   17;     /R[11];      /S[2];     /S[11];           ;           ;      /R[2];           ;           ;
   18;     /R[11];      /S[2];     /S[11];           ;           ;      /R[2];           ;           ;
   19;     /R[12];           ;      /S[3];     /S[12];           ;      /R[3];           ;           ;
   20;     /R[13];           ;           ;      /S[4];     /S[13];      /R[4];           ;           ;
   21;     /R[13];           ;           ;      /S[4];     /S[13];      /R[4];           ;           ;
   22;     /R[15];     /S[10];           ;           ;           ;     /R[10];     /S[15];           ;
   23;     /R[15];     /S[10];           ;           ;           ;     /R[10];     /S[15];           ;
   24;     /R[16];           ;     /S[11];           ;           ;     /R[11];           ;     /S[16];
   25;     /R[16];           ;           ;     /S[12];           ;     /R[12];           ;     /S[16];
   26;     /R[16];           ;           ;     /S[12];           ;     /R[12];           ;     /S[16];
   27;       [17];           ;           ;           ;     /S[13];     /R[13];           ;           ;
   28;       [17];           ;           ;           ;           ;     /R[15];     /S[15];           ;
   29;       [17];           ;           ;           ;           ;     /R[15];     /S[15];           ;
   30;       [17];           ;           ;           ;           ;     /R[15];     /S[15];           ;
   31;       [17];           ;           ;           ;           ;       [21];           ;           ;
   32;       [17];           ;           ;           ;      /R[6];       [21];           ;           ;
   33;       [17];           ;           ;           ;      /R[8];       [21];           ;      /S[8];
   34;  [17]/S[9];           ;           ;           ;      /R[9];       [21];           ;           ;
   35;  [17]/S[9];           ;           ;      /R[5];      /R[9];       [21];           ;           ;
   36;  [17]/S[1];      /R[5];           ;      /R[7];      /S[5];       [21];      /S[7];      /R[1];
   37;  [17]/S[1];      /R[6];      /R[1];     /S[12];     /R[12];       [21];      /R[1];      /R[1];
   38;  [17]/S[1];      /R[6];      /R[1];      /R[8];     /R[14];       [21];      /R[1];      /R[1];
   39;  [17]/S[9];      /S[2];      /R[2];      /R[9];     /R[16];       [21];      /R[3];      /R[2];
   40;  [17]/S[9];      /S[2];      /R[9];     /R[11];       [19];       [21];      /R[3];      /R[2];
   41;  [17]/S[9];      /R[7];      /R[9];      /S[4];       [19];       [21];      /R[3];      /R[4];
   42;  [17]/S[9];     /S[10];     /R[10];      /S[4];  [19]/S[5];       [21];      /R[3];      /R[4];
   43;  [17]/S[9];     /R[11];     /R[13];      /S[4]; [19]/S[13];       [21];      /R[4];      /R[9];
   44;  [17]/S[9];     /R[14];     /R[13];     /R[14]; [19]/S[13];  [21]/S[6];      /R[9];      /R[9];
   45;  [17]/S[9];     /R[14];     /R[14];     /R[15];       [19]; [21]/S[14];      /R[9];      /R[9];
