    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    3;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    4;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    5;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    6;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    7;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    8;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
    9;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
   10;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   11;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   12;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   13;     /R[10];           ;           ;           ;           ;           ;           ;           ;           ;     /S[10];           ;           ;           ;           ;           ;           ;
   14;     /R[10];           ;           ;           ;           ;           ;           ;           ;           ;     /S[10];           ;           ;           ;           ;           ;           ;
   15;     /R[11];      /S[2];           ;           ;           ;           ;           ;      /R[2];           ;           ;     /S[11];           ;           ;           ;           ;           ;
   16;     /R[11];      /S[2];      /S[3];           ;      /S[5];           ;      /R[3];      /R[2];           ;           ;     /S[11];           ;           ;           ;      /R[5];           ;
   17;      /S[1];           ;      /S[3];      /S[4];      /R[1];           ;      /R[4];      /R[3];      /R[1];      /R[1];      /R[1];     /S[12];           ;      /R[5];      /R[5];           ;
   18;      /S[1];      /R[1];      /S[3];      /S[4];      /R[2];           ;      /R[4];      /R[3];      /R[2];      /R[1];      /R[1];     /S[12];           ;      /R[5];      /R[7];           ;
   19;      /S[1];      /R[4];      /R[1];      /S[4];      /R[2];      /R[1];      /R[5];      /R[4];      /R[2];      /R[2];      /R[3];      /R[2];      /R[5];      /R[6];      /R[8];           ;
   20;      /S[1];      /R[6];      /R[2];      /R[1];      /R[3];      /S[6];      /R[6];      /R[6];      /R[3];      /R[4];      /R[4];      /R[2];      /R[6];      /R[8];      /R[8];           ;
   21;     /R[13];      /R[7];      /R[2];      /R[2];      /R[3];      /R[3];      /S[7];      /R[7];      /R[3];      /R[4];      /R[4];      /R[3];      /R[6];      /R[8];      /R[9];           ;
   22;     /R[15];      /R[7];      /S[3];      /R[3];      /S[5];      /S[6];      /S[7];      /S[8];     /R[10];     /S[10];      /R[9];      /R[3];      /R[7];     /S[14];      /R[9];           ;
   23;     /R[15];      /R[7];      /R[5];      /R[5];      /S[5];      /R[3];      /S[7];     /R[14];     /R[11];     /R[12];     /S[11];     /S[12];     /S[13];     /S[14];     /R[11];           ;
   24;     /R[15];      /R[8];      /R[7];      /R[5];      /S[5];      /R[4];      /S[7];      /S[8];     /R[13];     /R[13];     /R[13];     /R[10];     /S[13];     /R[10];     /S[15];           ;
   25;     /R[16];      /R[8];      /R[8];      /R[5];      /S[5];      /R[4];     /R[15];      /S[8];     /R[14];     /R[13];     /R[13];     /R[11];     /S[13];     /S[14];     /S[15];     /S[16];
   26;     /R[16];      /R[9];      /R[8];      /R[8];     /R[14];      /R[5];     /R[16];      /S[8];      /S[9];     /R[14];     /R[15];     /R[13];     /S[13];     /S[14];     /S[15];     /S[16];
   27;     /R[16];      /R[9];     /R[10];      /R[9];     /R[15];      /R[8];     /R[16];  [25]/S[8];      /S[9];     /S[10];     /R[16];     /R[13];     /S[13];     /R[13];     /S[15];     /S[16];
   28;      /S[1];     /R[10];     /R[10];      /R[9];     /R[15];     /R[13];       [26];       [25];      /S[9];     /S[10];     /R[16];     /R[13];     /S[13];     /R[16];     /S[15];      /R[1];
   29;  [17]/S[1];     /R[12];     /R[10];      /R[9];  [28]/S[5];     /R[13];  [26]/S[7];  [25]/S[8];  [24]/S[9]; [23]/S[10];       [22];     /S[12];     /S[13]; [19]/S[14];       [18];      /R[1];
   30;  [17]/S[1];     /R[12];     /R[11];     /R[11];  [28]/S[5];     /R[14];       [26];  [25]/S[8];       [24];       [23]; [22]/S[11];     /S[12];     /R[15]; [19]/S[14]; [18]/S[15];      /R[1];
   31;  [17]/S[1];  [31]/S[2];     /R[12];     /R[11];  [28]/S[5];     /R[16];       [26];  [25]/S[8];       [24];       [23]; [22]/S[11];     /S[12];     /R[16];       [19]; [18]/S[15];      /R[1];
   32;       [17];  [31]/S[2];     /R[12];     /R[12];       [28];     /R[16];  [26]/S[7];       [25];       [24];       [23];       [22];     /S[12];     /R[16];       [19]; [18]/S[15];      /R[2];
   33;       [17];  [31]/S[2];  [29]/S[3];  [30]/S[4];       [28];  [27]/S[6];  [26]/S[7];       [25];  [24]/S[9];       [23];       [22]; [21]/S[12];       [20];       [19]; [18]/S[15];      /R[2];
   34;       [17];  [31]/S[2];  [29]/S[3];  [30]/S[4];       [28];  [27]/S[6];  [26]/S[7];       [25];  [24]/S[9];       [23];       [22];       [21]; [20]/S[13];       [19]; [18]/S[15];      /R[2];
   35;       [17];       [31];  [29]/S[3];  [30]/S[4];       [28];  [27]/S[6];       [26];       [25];  [24]/S[9];       [23]; [22]/S[11];       [21]; [20]/S[13];       [19]; [18]/S[15];      /R[4];
