    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    3;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    4;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    5;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    6;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    7;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    8;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    9;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
   10;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
   11;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
   12;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
   13;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   14;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   15;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   16;     /R[10];     /S[10];           ;           ;           ;           ;           ;           ;
   17;     /R[11];      /S[2];     /S[11];           ;           ;           ;           ;      /R[2];
   18;     /R[12];      /S[2];           ;     /S[12];           ;           ;           ;      /R[2];
   19;     /R[12];           ;      /S[3];     /S[12];           ;           ;           ;      /R[3];
   20;     /R[13];           ;      /S[3];           ;     /S[13];           ;           ;      /R[3];
   21;     /R[15];           ;           ;      /S[4];           ;           ;     /S[15];      /R[4];
   22;     /R[15];     /S[10];           ;           ;           ;           ;     /S[15];     /R[10];
   23;     /R[16];     /S[10];           ;           ;           ;           ;           ;     /R[10];
   24;     /R[16];           ;     /S[11];           ;           ;           ;           ;     /R[11];
   25;     /R[16];           ;     /S[11];           ;           ;           ;           ;     /R[11];
   26;       [17];           ;           ;     /S[12];           ;           ;           ;     /R[12];
   27;       [17];           ;           ;           ;     /S[13];           ;           ;     /R[13];
   28;       [17];           ;           ;           ;     /S[13];           ;           ;     /R[13];
   29;       [17];           ;           ;           ;           ;     /S[14];           ;     /R[14];
   30;       [17];           ;           ;           ;           ;           ;     /S[15];     /R[15];
   31;  [17]/S[1];           ;           ;           ;           ;           ;      /R[1];       [21];
   32;  [17]/S[1];           ;      /R[5];           ;      /S[5];           ;      /R[1];       [21];
   33;  [17]/S[1];      /R[5];      /S[3];           ;      /R[1];      /R[1];      /R[3];       [21];
   34;  [17]/S[1];      /S[2];      /R[7];      /S[4];      /R[2];      /R[1];      /R[4];       [21];
   35;       [17];      /S[2];      /R[8];      /S[4];      /R[2];      /R[2];      /R[4]; [21]/S[16];
   36;  [17]/S[9];      /R[8];      /S[3];      /S[4];      /R[3];      /R[4];      /R[9]; [21]/S[16];
   37;  [17]/S[9];      /R[8];      /S[3];      /S[4];      /R[3];      /R[4];      /R[9]; [21]/S[16];
   38;  [17]/S[9];      /R[9];     /S[11];      /R[6];      /R[9];      /R[9];     /R[11];       [21];
   39;  [17]/S[9];     /S[10];     /R[14];     /S[12];     /R[10];      /R[9];     /R[12];       [21];
   40;       [17];     /S[10];     /R[14];     /S[12];     /R[10];     /R[10];     /R[12];       [21];
   41;       [17];     /R[13];     /S[11];     /S[12];     /R[11];     /R[12];     /R[13];       [21];
   42;  [17]/S[9];     /R[14];     /S[11];     /S[12];     /R[11];     /R[12];     /R[16]; [21]/S[16];
   43;  [17]/S[9];     /R[16];     /R[16];      /R[9];     /R[14];     /S[14];       [22];       [21];
   44;       [17];     /S[10];     /R[16];     /R[10];     /R[15];     /R[16]; [22]/S[15]; [21]/S[16];
