    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    3;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    4;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    5;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    6;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
    7;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
    8;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
    9;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   10;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
   11;      /R[9];           ;           ;           ;      /S[5];           ;           ;           ;      /S[9];           ;           ;           ;           ;      /R[5];           ;           ;
   12;     /R[10];           ;           ;           ;      /S[5];           ;           ;           ;           ;     /S[10];           ;           ;           ;      /R[5];           ;           ;
   13;     /R[10];      /S[2];           ;      /R[2];           ;           ;      /S[7];           ;           ;     /S[10];           ;           ;           ;      /R[7];           ;           ;
   14;     /R[11];           ;      /S[3];      /R[3];           ;           ;      /S[7];           ;           ;           ;     /S[11];           ;           ;      /R[7];           ;           ;
   15;     /R[11];           ;      /S[3];      /R[3];           ;           ;           ;           ;           ;     /S[10];     /S[11];           ;           ;     /R[10];           ;           ;
   16;     /R[12];      /S[2];           ;      /R[6];           ;      /S[6];           ;           ;           ;     /S[10];      /R[2];     /S[12];           ;     /R[10];           ;           ;
   17;     /R[12];      /S[2];           ;      /R[7];           ;           ;      /S[7];           ;           ;     /S[10];      /R[2];     /S[12];           ;     /R[10];           ;           ;
   18;     /R[12];      /S[2];           ;      /R[8];      /S[5];           ;           ;      /S[8];           ;           ;      /R[2];     /S[12];           ;     /R[11];      /R[5];           ;
   19;     /R[13];           ;      /S[3];     /R[16];      /S[5];           ;           ;           ;           ;           ;      /R[3];           ;     /S[13];     /R[15];     /S[15];     /S[16];
   20;     /R[13];           ;      /S[3];     /R[16];      /S[5];           ;           ;           ;           ;           ;      /R[3];           ;     /S[13];     /R[16];      /R[5];     /S[16];
   21;     /R[14];           ;      /S[3];       [25];      /S[5];      /S[6];           ;           ;           ;           ;      /R[4];      /R[3];      /R[5];     /R[16];      /R[6];     /S[16];
   22;     /R[14];           ;      /S[3];       [25];      /S[5];      /S[6];           ;           ;           ;           ;      /R[4];      /R[3];      /R[5];       [20];      /R[6];           ;
   23;     /R[14];           ;      /S[3];       [25];      /S[5];      /S[6];           ;           ;           ;           ;      /R[4];      /R[3];      /R[5];       [20];      /R[6];           ;
   24;     /R[15];           ;      /S[3];       [25];           ;      /S[6];           ;      /S[8];           ;           ;     /R[12];      /R[3];      /R[6];       [20];      /R[8];           ;
   25;     /R[15];           ;           ;  [25]/S[4];           ;      /S[6];           ;      /S[8];           ;           ;     /R[12];      /R[4];      /R[6];       [20];      /R[8];           ;
   26;     /R[15];           ;           ;  [25]/S[4];           ;      /S[6];           ;      /S[8];           ;           ;     /R[13];      /R[4];     /S[13];       [20];      /R[8];           ;
   27;     /R[16];           ;           ;       [25];      /S[5];           ;      /S[7];           ;      /S[9];           ;     /R[13];      /R[5];     /S[13];       [20];      /R[9];     /S[16];
   28;     /R[16];           ;           ;  [25]/S[4];      /S[5];           ;      /S[7];           ;      /S[9];           ;     /R[13];      /R[5];     /S[13];       [20];      /R[9];     /S[16];
   29;     /R[16];           ;           ;  [25]/S[4];      /S[5];           ;      /S[7];           ;           ;     /S[10];     /R[14];      /R[5];      /R[7]; [20]/S[14];     /R[10];     /S[16];
   30;     /R[16];           ;           ;  [25]/S[4];           ;      /S[6];           ;      /S[8];           ;     /S[10];     /R[15];      /R[6];      /R[8]; [20]/S[14];     /S[15];     /S[16];
   31;       [17];           ;           ;       [25];           ;      /S[6];           ;      /S[8];           ;           ;     /R[15];      /R[6];      /R[8]; [20]/S[14];     /S[15];           ;
   32;       [17];           ;           ;       [25];           ;      /S[6];           ;      /S[8];           ;           ;       [21];      /R[6];      /R[8]; [20]/S[14];     /R[11];           ;
   33;       [17];           ;           ;       [25];           ;           ;      /S[7];           ;      /S[9];           ; [21]/S[11];      /R[7];      /R[9];       [20];     /R[12];           ;
   34;       [17];           ;           ;       [25];           ;           ;           ;      /S[8];           ;     /S[10];       [21];      /R[8];     /R[10];       [20];     /R[12];           ;
   35;       [17];           ;           ;       [25];           ;           ;           ;           ;           ;           ;       [21];     /R[13];     /S[13];       [20];     /R[13];           ;
   36;       [17];           ;           ;       [25];           ;           ;           ;           ;           ;           ;       [21];     /R[13];     /S[13];       [20];     /R[14];           ;
   37;       [17];           ;           ;       [25];           ;           ;           ;           ;           ;           ;       [21];     /R[14];     /R[11]; [20]/S[14];     /R[16];     /S[16];
   38;       [17];           ;           ;       [25];           ;           ;           ;           ;           ;           ;       [21];     /R[15];     /R[12];       [20]; [19]/S[15];           ;
   39;       [17];           ;           ;       [25];           ;           ;           ;           ;           ;           ;       [21];     /R[15];     /R[12];       [20]; [19]/S[15];           ;
   40;       [17];           ;           ;       [25];           ;           ;           ;           ;           ;           ;       [21];     /R[16];     /R[12];       [20];       [19];     /S[16];
   41;  [17]/S[1];      /R[1];           ;       [25];           ;           ;           ;           ;           ;           ;       [21];     /R[16];     /R[14];       [20]; [19]/S[15];     /S[16];
