    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    3;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    4;   [9]/R[6];       [10];       [11];       [12];       [13];  [14]/S[6];       [15];       [16];
    5;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
    6;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
    7;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
    8;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
    9;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   10;      /R[8];           ;           ;           ;      /S[5];           ;      /R[5];      /S[8];
   11;      /R[8];     /S[10];           ;           ;           ;           ;     /R[10];      /S[8];
   12;     /R[10];      /S[2];      /R[2];           ;           ;           ;     /R[10];           ;
   13;     /R[11];           ;      /R[4];      /S[4];           ;           ;     /R[11];           ;
   14;     /R[11];           ;      /R[4];      /S[4];           ;           ;     /R[11];           ;
   15;     /R[12];           ;     /R[12];     /S[12];           ;     /S[14];     /R[14];           ;
   16;     /R[12];           ;     /R[12];     /S[12];           ;           ;     /R[16];     /S[16];
   17;     /R[13];           ;     /R[13];           ;     /S[13];           ;       [20];           ;
   18;     /R[14];           ;     /R[14];           ;           ;     /S[14];       [20];           ;
   19;     /R[14];           ;     /R[15];           ;           ;     /S[14]; [20]/S[15];           ;
   20;     /R[14];           ;     /R[15];           ;           ;     /S[14]; [20]/S[15];           ;
   21;     /R[15];           ;       [21];           ;           ;           ;       [20];           ;
   22;     /R[15];           ; [21]/S[11];           ;           ;           ;       [20];           ;
   23;     /R[16];           ; [21]/S[11];           ;           ;           ;       [20];     /S[16];
   24;     /R[16];           ;       [21];           ;           ;           ;       [20];     /S[16];
   25;     /R[16];           ;       [21];           ;           ;           ;       [20];     /S[16];
   26;       [17];           ;       [21];           ;           ;           ;       [20];           ;
   27;       [17];           ;       [21];           ;           ;           ; [20]/S[15];           ;
   28;  [17]/S[1];           ;       [21];           ;           ;           ; [20]/S[15];      /R[1];
   29;  [17]/S[1];           ;       [21];           ;           ;           ;       [20];      /R[1];
   30;  [17]/S[1];           ;       [21];           ;           ;           ;       [20];      /R[1];
   31;       [17];      /S[2];       [21];           ;           ;           ;       [20];      /R[2];
   32;  [17]/S[1];      /S[2];       [21];           ;      /R[1];           ;       [20];      /R[2];
   33;  [17]/S[1];      /S[2];  [21]/S[3];           ;      /R[2];      /R[1];       [20];      /R[3];
   34;  [17]/S[1];           ;  [21]/S[3];           ;      /R[3];      /R[1];       [20];      /R[3];
   35;  [17]/S[1];      /R[5];  [21]/S[3];      /S[4];      /R[4];      /R[1];       [20];      /R[3];
   36;  [17]/S[9];      /S[2];       [21];      /S[4];      /R[4];      /R[2];       [20];      /R[9];
   37;  [17]/S[9];      /S[2];       [21];      /R[5];      /R[9];      /R[2];       [20];      /R[9];
   38;  [17]/S[9];     /S[10];       [21];      /S[4];     /R[10];      /R[4];       [20];      /R[9];
   39;  [17]/S[9];      /R[7];       [21];     /S[12];     /R[12];     /S[14];       [20];     /R[14];
   40;  [17]/S[9];      /R[8];       [21];     /S[12];     /R[12];     /S[14];       [20];     /R[14];
   41;  [17]/S[9];      /R[8];       [21];      /R[9];     /R[15];      /R[9]; [20]/S[15];       [24];
   42;  [17]/S[9];     /S[10];       [21];     /R[10];     /R[16];     /R[10];       [20];       [24];
   43;       [17];     /S[10];       [21];     /R[11];     /R[16];     /R[10];       [20];       [24];
   44;       [17];     /R[12]; [21]/S[11];     /R[11];       [22];     /R[11];  [20]/S[7];       [24];
