    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;         P8;         P9;        P10;        P11;        P12;        P13;        P14;        P15;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    3;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    4;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;           ;           ;           ;           ;           ;           ;           ;           ;
    5;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
    6;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;           ;           ;           ;           ;           ;           ;           ;           ;
    7;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
    8;      /R[8];      /S[2];           ;           ;           ;      /R[2];           ;      /S[8];           ;           ;           ;           ;           ;           ;           ;           ;
    9;      /R[9];           ;      /S[3];           ;           ;      /R[3];           ;           ;      /S[9];           ;           ;           ;           ;           ;           ;           ;
   10;     /R[10];           ;           ;           ;           ;      /R[7];      /S[7];           ;           ;     /S[10];           ;           ;           ;           ;           ;           ;
   11;     /R[10];      /S[2];      /R[2];           ;           ;      /R[8];           ;      /S[8];           ;     /S[10];           ;           ;           ;           ;           ;           ;
   12;     /R[11];      /R[5];      /R[4];      /S[4];      /S[5];     /R[16];           ;           ;           ;           ;     /S[11];           ;           ;           ;           ;     /S[16];
   13;     /R[11];      /R[7];     /R[11];           ;           ;     /R[16];      /S[7];           ;           ;           ;     /S[11];           ;           ;           ;           ;     /S[16];
   14;     /R[12];      /R[7];     /R[12];           ;           ;       [25];      /S[7];           ;           ;           ;           ;     /S[12];           ;           ;           ;           ;
   15;     /R[13];     /R[10];     /R[13];           ;           ;       [25];           ;           ;           ;     /S[10];           ;           ;     /S[13];           ;           ;           ;
   16;     /R[13];     /R[10];     /R[14];           ;           ;       [25];           ;           ;           ;     /S[10];           ;           ;     /S[13];     /S[14];           ;           ;
   17;     /R[14];     /R[11];      /S[3];      /R[3];      /S[5];       [25];           ;           ;      /R[5];           ;     /S[11];           ;           ;     /S[14];           ;           ;
   18;     /R[14];     /R[14];     /R[15];      /R[5];      /S[5];       [25];           ;           ;      /R[6];           ;      /R[5];           ;           ;     /S[14];     /S[15];           ;
   19;     /R[15];     /R[15];     /R[15];      /R[5];      /S[5];       [25];           ;           ;      /R[6];           ;      /R[5];           ;           ;           ;     /S[15];           ;
   20;     /R[15];     /R[16];       [21];      /R[6];           ;  [25]/S[6];      /S[7];           ;      /R[7];           ;      /R[6];           ;           ;           ;     /S[15];     /S[16];
   21;     /R[16];     /R[16];       [21];      /R[7];           ;       [25];      /S[7];      /S[8];      /R[8];           ;      /R[6];           ;           ;           ;           ;     /S[16];
   22;     /R[16];       [20];       [21];      /R[8];           ;       [25];           ;      /S[8];     /R[10];     /S[10];      /R[8];           ;           ;           ;           ;     /S[16];
   23;     /R[16];       [20];       [21];     /R[13];           ;  [25]/S[6];           ;      /S[8];     /R[11];           ;      /R[8];           ;     /S[13];           ;           ;     /S[16];
   24;       [17];       [20];       [21];     /R[13];           ;  [25]/S[6];           ;           ;      /S[9];           ;      /R[9];     /S[12];     /S[13];           ;           ;           ;
   25;       [17];       [20];       [21];     /R[14];           ;  [25]/S[6];           ;           ;     /R[13];     /S[10];     /R[10];           ;     /S[13];     /S[14];           ;           ;
   26;       [17];       [20];       [21];     /R[14];           ;  [25]/S[6];           ;           ;     /R[14];           ;     /R[12];     /S[12];           ;     /S[14];           ;           ;
   27;       [17];       [20];       [21];     /R[15];           ;       [25];           ;           ;     /R[14];           ;     /R[12];     /S[12];           ;     /S[14];     /S[15];           ;
   28;       [17];       [20];       [21];     /R[15];           ;       [25];           ;           ;     /R[15];           ;     /R[13];           ;     /S[13];           ;     /S[15];           ;
   29;       [17];       [20];       [21];     /R[16];           ;       [25];           ;           ;     /R[15];           ;     /R[14];           ;           ;     /S[14];     /S[15];     /S[16];
   30;       [17];       [20];       [21];     /R[16];           ;       [25];           ;           ;     /R[16];           ;     /R[15];           ;           ;           ;     /S[15];     /S[16];
   31;  [17]/S[1];       [20];       [21];       [26];           ;       [25];           ;           ;     /R[16];           ;     /R[16];      /R[1];           ;           ;           ;     /S[16];
   32;  [17]/S[1];  [20]/S[2];       [21];       [26];      /R[1];       [25];           ;           ;       [18];           ;     /R[16];      /R[2];           ;           ;           ;     /S[16];
   33;       [17];       [20];  [21]/S[3];       [26];      /R[3];       [25];           ;           ;       [18];           ;       [19];      /R[3];           ;           ;           ;           ;
   34;       [17];       [20];       [21];  [26]/S[4];      /R[4];       [25];           ;           ;  [18]/S[9];           ;       [19];      /R[9];           ;           ;           ;           ;
   35;  [17]/S[1];       [20];       [21];  [26]/S[4];      /R[4];       [25];           ;           ;       [18];           ;       [19];     /R[14];      /R[1];     /S[14];           ;           ;
   36;  [17]/S[1];       [20];       [21];       [26];      /R[7];       [25];      /S[7];           ;       [18];           ;       [19];     /R[16];      /R[1];           ;           ;     /S[16];
   37;  [17]/S[1];  [20]/S[2];       [21];       [26];     /R[13];       [25];           ;           ;       [18];      /R[1];       [19];     /R[16];     /S[13];           ;           ;     /S[16];
   38;  [17]/S[1];       [20];  [21]/S[3];       [26];     /R[13];       [25];      /R[1];      /R[1];       [18];      /R[1]; [19]/S[11];     /R[16];     /S[13];           ;           ;     /S[16];
   39;  [17]/S[1];  [20]/S[2];       [21];       [26];     /R[15];       [25];      /R[1];      /R[1];       [18];      /R[2];       [19];       [24];      /R[4];           ;      /R[1];           ;
   40;  [17]/S[1];  [20]/S[2];  [21]/S[3];       [26];     /R[15];       [25];      /R[2];      /R[3];       [18];      /R[2];       [19];       [24];      /R[4];      /R[1];      /R[1];           ;
