    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    3;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    4;   [9]/R[6];       [10];       [11];       [12];       [13];  [14]/S[6];       [15];       [16];
    5;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
    6;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
    7;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
    8;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
    9;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   10;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   11;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   12;     /R[10];     /S[10];           ;           ;      /S[5];           ;           ;      /R[5];
   13;     /R[11];           ;     /S[11];           ;           ;           ;      /S[7];      /R[7];
   14;     /R[11];     /S[10];     /S[11];           ;           ;           ;           ;     /R[10];
   15;     /R[12];      /S[2];           ;      /R[2];           ;           ;           ;     /R[10];
   16;     /R[13];      /S[2];     /S[11];      /R[2];     /S[13];           ;           ;     /R[11];
   17;     /R[13];           ;      /S[3];      /R[3];     /S[13];           ;           ;     /R[11];
   18;     /R[14];           ;      /S[3];      /R[3];           ;     /S[14];           ;     /R[11];
   19;     /R[14];           ;      /S[3];      /R[3];           ;     /S[14];           ;     /R[14];
   20;     /R[14];           ;     /S[11];     /R[11];           ;     /S[14];           ;     /R[14];
   21;     /R[15];           ;     /S[11];     /R[11];           ;           ;     /S[15];     /R[15];
   22;     /R[15];           ;     /S[11];     /R[11];           ;           ;     /S[15];       [20];
   23;     /R[16];           ;           ;     /R[13];     /S[13];           ;           ;       [20];
   24;     /R[16];           ;           ;     /R[14];           ;     /S[14];           ;       [20];
   25;     /R[16];           ;           ;     /R[14];           ;     /S[14];           ;       [20];
   26;       [17];           ;           ;     /R[15];           ;           ;     /S[15];       [20];
   27;       [17];           ;           ; [21]/S[12];           ;           ;           ;       [20];
   28;       [17];           ;           ;       [21];           ;           ;           ;       [20];
   29;       [17];           ;           ;       [21];           ;           ;           ;       [20];
   30;  [17]/S[1];           ;      /R[1];       [21];           ;           ;           ;       [20];
   31;  [17]/S[1];           ;      /R[1];       [21];           ;           ;           ;       [20];
   32;       [17];      /S[2];      /R[2];       [21];           ;           ;           ; [20]/S[16];
   33;  [17]/S[9];           ;      /R[9];       [21];           ;           ;      /R[1]; [20]/S[16];
   34;  [17]/S[9];           ;      /R[9];       [21];           ;           ;      /R[1]; [20]/S[16];
   35;       [17];      /S[2];     /R[14];       [21];      /R[6];     /S[14];      /R[2];       [20];
   36;  [17]/S[1];      /S[2];     /R[16];       [21];      /R[7];      /R[1];      /R[2]; [20]/S[16];
   37;  [17]/S[1];      /S[2];     /R[16];       [21];      /R[7];      /R[1];      /R[2]; [20]/S[16];
   38;  [17]/S[1];      /R[5];     /R[16];       [21];      /S[5];      /R[1];      /R[3]; [20]/S[16];
   39;  [17]/S[9];      /S[2];       [24];       [21];      /R[9];      /R[2];      /R[3];       [20];
   40;  [17]/S[9];      /S[2];       [24];       [21];      /R[9];      /R[2];      /R[3];       [20];
   41;       [17];      /R[8];       [24];  [21]/S[4];     /R[10];      /R[4];      /R[3];       [20];
   42;       [17];      /R[8];       [24];  [21]/S[4];     /R[11];      /R[4];      /R[4];       [20];
   43;  [17]/S[9];      /R[9];       [24];       [21];     /R[11];      /R[9];      /R[9];       [20];
   44;  [17]/S[9];     /R[11];       [24];       [21];     /R[12];      /R[9];      /R[9];       [20];
