    t;         P0;         P1;         P2;         P3;         P4;         P5;         P6;         P7;
    1;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    2;        [1];        [2];        [3];        [4];        [5];        [6];        [7];        [8];
    3;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    4;        [9];       [10];       [11];       [12];       [13];       [14];       [15];       [16];
    5;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
    6;      /R[6];           ;           ;           ;           ;      /S[6];           ;           ;
    7;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
    8;      /R[7];           ;           ;           ;           ;           ;      /S[7];           ;
    9;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   10;      /R[8];           ;           ;           ;           ;           ;           ;      /S[8];
   11;      /R[8];           ;           ;           ;      /S[5];           ;      /R[5];      /S[8];
   12;     /R[10];     /S[10];           ;           ;           ;           ;     /R[10];           ;
   13;     /R[11];      /S[2];     /S[11];      /R[2];           ;           ;     /R[10];           ;
   14;     /R[12];     /S[10];      /S[3];      /R[3];           ;           ;     /R[10];           ;
   15;     /R[12];           ;     /S[11];     /R[11];           ;           ;     /R[11];           ;
   16;     /R[13];           ;           ;     /R[13];     /S[13];     /S[14];     /R[14];           ;
   17;     /R[14];           ;           ;     /R[13];     /S[13];     /S[14];     /R[14];           ;
   18;     /R[14];           ;           ;     /R[13];     /S[13];     /S[14];     /R[16];     /S[16];
   19;     /R[15];           ;           ;     /R[14];           ;     /S[14];       [20];           ;
   20;     /R[15];           ;           ;     /R[14];           ;     /S[14];       [20];           ;
   21;     /R[16];           ;           ;     /R[15];           ;           ; [20]/S[15];     /S[16];
   22;     /R[16];           ;           ;     /R[15];           ;           ; [20]/S[15];     /S[16];
   23;     /R[16];           ;           ;       [21];           ;           ;       [20];     /S[16];
   24;       [17];           ;           ; [21]/S[12];           ;           ;       [20];           ;
   25;  [17]/S[1];           ;           ; [21]/S[12];           ;           ;       [20];      /R[1];
   26;  [17]/S[1];           ;           ;       [21];           ;           ; [20]/S[15];      /R[1];
   27;  [17]/S[1];           ;           ;       [21];           ;           ; [20]/S[15];      /R[1];
   28;       [17];      /S[2];           ;       [21];           ;           ;       [20];      /R[2];
   29;       [17];      /S[2];           ;       [21];           ;           ;       [20];      /R[2];
   30;       [17];           ;      /S[3];       [21];           ;           ;       [20];      /R[3];
   31;       [17];           ;      /S[3];       [21];           ;           ;       [20];      /R[3];
   32;  [17]/S[9];           ;           ;       [21];      /R[1];           ;       [20];      /R[9];
   33;  [17]/S[9];      /S[2];           ;       [21];      /R[2];      /R[1];       [20];      /R[9];
   34;  [17]/S[9];      /S[2];           ;       [21];      /R[2];      /R[1];       [20];      /R[9];
   35;       [17];      /S[2];      /S[3];       [21];      /R[3];     /S[14];       [20];     /R[14];
   36;       [17];      /R[6];      /S[3];  [21]/S[4];      /R[3];      /R[4];       [20];       [24];
   37;       [17];      /R[7];      /R[5];  [21]/S[4];      /R[4];      /R[4];       [20];       [24];
   38;  [17]/S[9];      /R[7];      /R[6];  [21]/S[4];      /R[4];      /R[9];       [20];       [24];
   39;  [17]/S[9];      /R[7];      /R[6];  [21]/S[4];      /R[4];      /R[9];       [20];       [24];
   40;  [17]/S[9];     /S[10];      /R[6];       [21];      /R[9];     /R[10];       [20];       [24];
   41;       [17];     /S[10];     /S[11];       [21];     /R[10];     /R[11];       [20];       [24];
   42;  [17]/S[9];     /S[10];     /S[11];       [21];     /R[10];     /R[11];       [20];       [24];
   43;  [17]/S[9];     /R[11];     /S[11]; [21]/S[12];     /R[12];     /R[11];       [20];       [24];
   44;       [17];     /S[10];     /R[10]; [21]/S[12];     /R[12];     /R[12];  [20]/S[7];       [24];
